SampleID,Mineral,Lithology,Geological_EnvironmentID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0047,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0048,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0049,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.005,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0051,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0052,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0053,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0054,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0055,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0056,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
