RefID,SampleID,SampleName,LaboratoryCode,Calculated_Age_(Ma),±_CalcAge,Corrected_Age_(Ma)_[5-15%_or_4/3],±_CorrAge
6,6.0058,PR0721D_1,08CQC,0.97,,1.07,0.11
6,6.0059,PR0721D_2,08CQD,0.40,,0.44,0.04
6,6.006,PR0721D_3,08CQE,0.39,,0.43,0.04
6,6.0061,PR0721C5B_1,08CQF,0.74,,0.81,0.08
6,6.0062,PR0721C5B_2,08CQG,0.82,,0.90,0.09
6,6.0063,PR0721C5B_3,08CQH,0.81,,0.89,0.09
6,6.0064,PR0721_1_1,08CQI,1.91,,2.10,0.21
6,6.0065,PR0721_1_2,08CQJ,1.60,,1.76,0.18
6,6.0066,PR0721_1_3,08CQK,1.46,,1.61,0.16
6,6.0067,PR0721_3_1,08CQO,1.57,,1.72,0.17
6,6.0068,PR0721_3_2,08CQP,2.16,,2.38,0.24
6,6.0069,PR0721_3_3,08CQQ,1.95,,2.14,0.21
6,6.007,PR0721_4_1,08CQR,2.03,,2.23,0.22
6,6.0071,PR0721_4_2,08CQS,2.10,,2.31,0.23
6,6.0072,PR0721_4_3,08CQT,1.84,,2.02,0.20
6,6.0073,PR0721_5_1,08CQU,3.53,,3.88,0.39
6,6.0074,PR0721_5_2,08CQV,4.19,,4.61,0.46
6,6.0075,PR0721_5_3,08CQW,2.51,,2.76,0.28
6,6.0076,PR0721J1_1,08CQX,2.28,,2.51,0.25
6,6.0077,PR0721J1_2,08CQY,2.01,,2.21,0.22
6,6.0078,PR0721J1_3,08CQZ,2.05,,2.26,0.23
6,6.0079,PR0721J2_1,08CRA,2.53,,2.78,0.28
6,6.008,PR0721J2_2,08CRB,2.50,,2.75,0.27
6,6.0081,PR0721J2_3,08CRC,2.48,,2.73,0.27
6,6.0082,PR0721J2a_1,08CZL,4.90,,5.39,0.54
6,6.0083,PR0721J2a_3,08CZN,2.34,,2.57,0.26
6,6.0084,PR0719A,08DCO,0.99,,1.09,0.11
6,6.0085,PR0719B,08DCP,0.69,,0.76,0.08
6,6.0086,PR0902,09LIA,0.71,,0.79,0.08
6,6.0087,PR0902,09LIB,0.87,,0.95,0.10
6,6.0088,PR0902_2,09LIC,0.91,,1.00,0.10
6,6.0089,PR0902_2,09LID,0.85,,0.93,0.09
6,6.009,PR0902_2_1,09MPJ,0.48,,0.53,0.05
6,6.0091,PR0902_2_2,09MPK,0.55,,0.61,0.06
6,6.0092,PR0903 rubia_1,09LIE,0.99,,1.09,0.11
6,6.0093,PR0903 rubia_1,09LJK,0.76,,0.84,0.08
6,6.0094,PR0903 rubia,09LJL,1.68,,1.85,0.19
6,6.0095,PR0903 rubia,09LJM,5.05,,5.55,0.56
